no,Material name,picture,Description,Colour,material,type,application,Grade
64,Via Lactea,,"Via Lactea Granite is a black stone distinguished by strong white veining. Frequently selected for dramatic architectural statements, it delivers high contrast and clarity. Each slab presents bold natural patterns.",Black-White Veining,Granite,NaturalStone,,A
,azul bahia ,,"Azul Bahia Granite is a rare natural stone known for its intense royal blue color and coarse crystalline texture. Quarried in Brazil, it is prized for its strength and visual impact in luxury applications. Each slab displays natural mineral variation that enhances its bold appearance.",Blue,Granite,NaturalStone,,
65,Blue Pearl,,"Blue Pearl Granite is a distinctive stone featuring iridescent blue and silver mineral crystals. Quarried in Norway, it is often used for luxury statement surfaces. Reflective minerals within each slab create dynamic visual depth.",Blue-Silver,Granite,NaturalStone,,A+
66,Volga Blue,,"Volga Blue Granite is a dark stone known for rare blue reflective crystals. Selected for premium architectural surfaces, it creates depth and visual intrigue under light. Natural mineral variation enhances its dramatic character.",Blue,Granite,NaturalStone,,A+
67,Crystal Blue,,"Crystal Blue Granite is a cool-toned stone with blue mineral texture and consistent grain. Used in modern architecture, it delivers clarity and strength. Natural variation ensures each slab remains distinctive.",Blue,Granite,NaturalStone,,A+
68,Imperial Red,,"Imperial Red Granite is a bold red stone known for its strong color and durability. Widely used in monuments and architectural exteriors, it delivers high visual impact. Each slab displays consistent mineral texture with natural variation.",Red,Granite,NaturalStone,,A
69,New Imperial Red,,"New Imperial Red Granite is a deep red stone with a refined and uniform appearance. Commonly used in architectural and exterior applications, it conveys strength and permanence. Natural mineral consistency gives each slab a solid and enduring character.",Red,Granite,NaturalStone,,A
70,Rosa Beta,,"Rosa Beta Granite is a pink stone with fine grain and soft visual warmth. Commonly used in architectural finishes, it balances durability with gentle color. Natural variation ensures each slab maintains a unique surface character.",Pink,Granite,NaturalStone,,A
71,Pink Porrino,,"Pink Porrino Granite is a light pink stone with fine mineral texture and soft tone. Frequently applied in architectural finishes, it introduces warmth while maintaining durability. Each slab features subtle natural variation.",Pink,Granite,NaturalStone,,A
72,Tuffa Pink,,"Tuffa Pink Granite is a pink-toned stone with consistent grain and gentle movement. Often used in interior and exterior architecture, it offers durability with a calm appearance. Natural variation gives each slab distinct character.",Pink,Granite,NaturalStone,,A
73,White Jade,,"White Jade is a refined semi-precious stone known for its soft white tone and smooth, elegant surface. Long valued in decorative arts and cultural objects, it conveys purity and understated luxury. Subtle natural variation ensures each piece maintains a calm and timeless character.",White,SemiPrecious,NaturalStone,,A++
74,Quartz Crystal,,"Quartz Crystal is a semi-precious material recognized for its clear to milky appearance and light-reflective qualities. Frequently used in decorative and architectural features, it adds clarity and brightness to luxury interiors. Natural inclusions within each piece create unique visual depth.",White,SemiPrecious,NaturalStone,,A++
75,Onyx White,,"White Onyx is a translucent semi-precious stone characterized by soft white layers and flowing movement. Widely used in luxury interior features, it is prized for its luminous effect when backlit. Natural banding ensures each slab is visually unique.",White,SemiPrecious,NaturalStone,,A++
76,Onyx Ice,,"Onyx Ice is a light translucent stone with cool white tones and subtle blue accents. Used in contemporary luxury interiors, it delivers a clean and luminous appearance. Natural layering within each slab adds depth and individuality.",White-Light Blue,SemiPrecious,NaturalStone,,A++
77,Jade,,"Jade is a prized semi-precious stone known for its rich green color and smooth texture. Historically valued across cultures for its artistic and symbolic significance, it remains a material of refinement and prestige. Natural color variation ensures each piece carries a distinct identity.",Green,SemiPrecious,NaturalStone,,A++
78,Malachite,,"Malachite is a vivid green semi-precious stone distinguished by bold banded patterns. Often used for statement pieces and luxury detailing, it delivers strong visual impact. Each slab showcases naturally formed patterns that are entirely unique.",Green,SemiPrecious,NaturalStone,,A++
79,Onyx Green,,"Green Onyx is a translucent stone featuring layered green tones and flowing movement. Selected for premium interior features, it offers depth and elegance when illuminated. Natural banding within each slab creates a distinctive visual expression.",Green,SemiPrecious,NaturalStone,,A++
,azul macaubas ,,"Azul Macaubas Quartzite is a refined stone featuring a white background with strong linear blue veining. Widely used in contemporary architecture, it offers a clean and elegant visual rhythm. Natural variation in the veining ensures each slab remains distinctive.",White-Blue,Quartzite,NaturalStone,,
,amzonite,,"Amazonite is a semi-precious stone distinguished by its blue-green tones and crystalline structure. Commonly used in decorative and feature applications, it delivers a vibrant yet refined visual presence. Natural crystal variation ensures every piece is unique.",Green-Blue,SemiPrecious,NaturalStone,,
80,Lapis Lazuli,,"Lapis Lazuli is a deep blue semi-precious stone accented with natural golden mineral inclusions. Used since ancient times for art and ornamentation, it remains a symbol of richness and sophistication. Each piece displays unique mineral patterns shaped by nature.",Blue-Gold,SemiPrecious,NaturalStone,,A++
81,Onyx Blue,,"Onyx Blue is a rare translucent stone defined by cool blue tones and layered depth. Commonly used in statement interior features, it creates a striking visual effect when backlit. Natural variations ensure every slab remains visually unique.",Blue,SemiPrecious,NaturalStone,,A++
82,Labradorite,,"Labradorite is a semi-precious stone recognized for its grey base and blue iridescent flashes. Frequently used in luxury architectural surfaces, it offers a dramatic yet refined appearance. Each slab reveals natural light-reactive patterns that make it distinctive.",Grey-Blue,SemiPrecious,NaturalStone,,A++
83,Amethyst,,"Amethyst is a semi-precious stone known for its purple crystalline structure and depth of color. Widely used in decorative and artistic applications, it conveys elegance and visual richness. Natural crystal formations ensure every piece is unique.",Purple,SemiPrecious,NaturalStone,,A++
84,Tiger Eye,,"Tiger Eye is a semi-precious stone characterized by warm brown and gold tones with a natural shimmering effect. Traditionally used for decorative elements, it adds warmth and depth to luxury interiors. Natural banding within each piece creates distinctive movement.",Brown-Gold,SemiPrecious,NaturalStone,,A++
85,Jasper,,"Jasper is a semi-precious stone featuring earthy red and brown tones with bold natural patterns. Commonly used in decorative applications, it delivers a grounded and organic aesthetic. Each piece presents unique formations shaped by geological processes.",Red-Brown,SemiPrecious,NaturalStone,,A++
87,Onyx Honey,,"Honey Onyx is a warm translucent stone with golden amber tones and flowing layers. Commonly used in luxury interior features, it is prized for its glowing appearance when illuminated. Natural banding ensures every piece has its own character.",Gold,SemiPrecious,NaturalStone,,A++
88,Onyx Pink,,"Onyx Pink is a soft pink translucent stone with gentle layering and warmth. Selected for refined decorative applications, it introduces subtle color while maintaining elegance. Natural variations ensure each piece remains visually unique.",Pink,SemiPrecious,NaturalStone,,A++
,patagonia ,,"Patagonia Quartzite is a dramatic natural stone composed of large crystalline fragments in white, beige, grey, and dark tones. Highly valued in luxury interiors, it is often selected as a statement material for feature surfaces. Each slab is visually unique due to its bold natural composition.",multi ,SemiPrecious,NaturalStone,,
89,Onyx Rainbow (van gogh),,"Onyx Rainbow is a multi-tonal translucent stone defined by layered color variation. Used for statement interior features, it offers strong visual interest and depth. Each slab showcases naturally occurring patterns that are entirely unique.",Multi,SemiPrecious,NaturalStone,,A++
91,Obsidian,,"Obsidian is a naturally occurring volcanic glass with a deep black and glossy surface. Often used for artistic and decorative objects, it conveys strength and minimalism. Each piece reflects natural formation with subtle surface variation.",Black,SemiPrecious,NaturalStone,,A++
92,Limestone Cloudy,,"Limestone Cloudy is a light natural limestone characterized by soft, cloudy movement across a pale base. Commonly used in architectural interiors, it provides a calm and understated surface. Natural variation within each slab gives it a refined and organic appearance.",Beige,Limestone,NaturalStone,,A+
93,Sunny Creama,,"Sunny Creama Limestone is a warm cream-toned stone known for its subtle texture and consistent appearance. Frequently used in hospitality and residential architecture, it offers timeless elegance. Each slab presents gentle natural variation that enhances its visual depth.",Beige,Limestone,NaturalStone,,A+
94,Jura Beige,,"Jura Beige Limestone is a classic German stone distinguished by its fine fossil texture and warm beige tone. Widely used in architectural and facade applications, it conveys strength and timeless character. Natural fossil patterns ensure each slab remains visually unique.",Beige,Limestone,NaturalStone,,A+
95,Moleanos,,"Moleanos Limestone is a Portuguese natural stone known for its uniform beige color and refined grain. Often specified for architectural projects, it provides a clean and balanced appearance. Subtle natural variation across each slab adds quiet elegance.",Beige,Limestone,NaturalStone,,A+
96,Moca Creme,,"Moca Creme Limestone is a light beige stone characterized by subtle linear fossil markings. Commonly used in contemporary architecture, it offers a structured yet warm visual tone. Each slab displays fine natural detail that contributes to its refined look.",Beige,Limestone,NaturalStone,,A+
97,Ivory Limestone,,"Ivory Limestone is a soft-toned natural stone with a smooth and calm appearance. Frequently selected for minimalist interiors, it delivers warmth without visual heaviness. Gentle natural variation gives each slab a distinct but harmonious character.",Beige,Limestone,NaturalStone,,A+
98,Royal Beige Limestone,,"Royal Beige Limestone is a warm beige stone valued for its classic architectural appeal. Widely used in interior and exterior applications, it offers durability and timeless elegance. Natural movement within each slab creates subtle visual interest.",Beige,Limestone,NaturalStone,,A+
100,Luna Limestone,,"Luna Limestone is a light cream to beige stone with a smooth and consistent surface. Often applied in modern interiors, it offers a clean and calming aesthetic. Subtle natural variation ensures each slab maintains individual character.",Beige,Limestone,NaturalStone,,A+
101,Capri Limestone,,"Capri Limestone is a warm-toned natural stone inspired by Mediterranean architecture. Commonly used for interior and exterior surfaces, it delivers a relaxed and timeless appearance. Each slab features gentle natural variation that enhances its character.",Beige,Limestone,NaturalStone,,A+
102,Sinai Pearl Limestone,,"Sinai Pearl Limestone is a light beige stone with a soft and uniform appearance. Frequently applied in architectural projects, it provides warmth and versatility. Gentle natural variation across each slab adds refined character.",Beige,Limestone,NaturalStone,,A+
103,Jura Grey,,"Jura Grey Limestone is a grey natural stone with fine fossil texture and structured movement. Frequently specified in modern architecture, it offers a clean and contemporary aesthetic. Natural fossil patterns ensure each slab is visually distinctive.",Grey,Limestone,NaturalStone,,A+
105,Moleanos Azul,,"Moleanos Azul Limestone is a cool-toned stone featuring grey with slight blue undertones. Often used in contemporary architectural projects, it delivers a refined and modern appearance. Natural variation across each slab creates gentle visual movement.",Grey-Blue,Limestone,NaturalStone,,A+
108,Sinai Gold Limestone,,"Sinai Gold Limestone is a golden-beige natural stone valued for its warm tone and durability. Commonly used in exterior and interior architecture, it creates a timeless and inviting appearance. Each slab features natural variation that enhances its depth.",Gold,Limestone,NaturalStone,,A+
109,,,,,,,,
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,,
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
